# Species   Mass fraction
H1     0.75995
H2     9.1e-05
H3     0.0
He3    3.4e-05
He4    0.24
Li6    1e-12
Li7    8e-10
Be7    0.0
Be9    0.0
Be10   0.0
B10    0.0
B11    0.0
C12    0.0
C13    0.0
C14    0.0
N13    0.0
N14    0.0
N15    0.0
N16    0.0
O15    0.0
O16    0.0
O17    0.0
O18    0.0
O19    0.0
F17    0.0
F18    0.0
F19    0.0
F20    0.0
Ne20   0.0
Ne21   0.0
Ne22   0.0
Ne23   0.0
Na21   0.0
Na22   0.0
Na23   0.0
Na24   0.0
Mg23   0.0
Mg24   0.0
Mg25   0.0
Mg26   0.0
Mg27   0.0
Al25   0.0
Al26   0.0
Alg6   0.0
Alm6   0.0
Al27   0.0
Al28   0.0
Si27   0.0
Si28   0.0
Si29   0.0
Si30   0.0
Si31   0.0
Si32   0.0
P29    0.0
P30    0.0
P31    0.0
P32    0.0
P33    0.0
P34    0.0
S31    0.0
S32    0.0
S33    0.0
S34    0.0
S35    0.0
S36    0.0
S37    0.0
Cl33   0.0
Cl34   0.0
Cl35   0.0
Cl36   0.0
Cl37   0.0
Cl38   0.0
Ar36   0.0
Ar37   0.0
Ar38   0.0
Ar39   0.0
Ar40   0.0
Ar41   0.0
K37    0.0
K38    0.0
K39    0.0
K40    0.0
K41    0.0
K42    0.0
Ca40   0.0
Ca41   0.0
Ca42   0.0
Ca43   0.0
Ca44   0.0
Ca45   0.0
Ca46   0.0
Ca47   0.0
Ca48   0.0
Ca49   0.0
Sc41   0.0
Sc42   0.0
Sc43   0.0
Sc44   0.0
Sc45   0.0
Sc46   0.0
Sc47   0.0
Sc48   0.0
Sc49   0.0
Ti44   0.0
Ti45   0.0
Ti46   0.0
Ti47   0.0
Ti48   0.0
Ti49   0.0
Ti50   0.0
Ti51   0.0
V45    0.0
V46    0.0
V47    0.0
V48    0.0
V49    0.0
V50    0.0
V51    0.0
V52    0.0
Cr48   0.0
Cr49   0.0
Cr50   0.0
Cr51   0.0
Cr52   0.0
Cr53   0.0
Cr54   0.0
Cr55   0.0
Mn50   0.0
Mn51   0.0
Mn52   0.0
Mn53   0.0
Mn54   0.0
Mn55   0.0
Mn56   0.0
Mn57   0.0
Fe52   0.0
Fe53   0.0
Fe54   0.0
Fe55   0.0
Fe56   0.0
Fe57   0.0
Fe58   0.0
Fe59   0.0
Fe60   0.0
Fe61   0.0
Co54   0.0
Co55   0.0
Co56   0.0
Co57   0.0
Co58   0.0
Co59   0.0
Co60   0.0
Co61   0.0
Ni56   0.0
Ni57   0.0
Ni58   0.0
Ni59   0.0
Ni60   0.0
Ni61   0.0
Ni62   0.0
Ni63   0.0
Ni64   0.0
Ni65   0.0
Cu57   0.0
Cu58   0.0
Cu59   0.0
Cu60   0.0
Cu61   0.0
Cu62   0.0
Cu63   0.0
Cu64   0.0
Cu65   0.0
Cu66   0.0
Zn60   0.0
Zn61   0.0
Zn62   0.0
Zn63   0.0
Zn64   0.0
Zn65   0.0
Zn66   0.0
Zn67   0.0
Zn68   0.0
Zn69   0.0
Zn70   0.0
Zn71   0.0
Ga62   0.0
Ga63   0.0
Ga64   0.0
Ga65   0.0
Ga66   0.0
Ga67   0.0
Ga68   0.0
Ga69   0.0
Ga70   0.0
Ga71   0.0
Ga72   0.0
Ge64   0.0
Ge65   0.0
Ge66   0.0
Ge67   0.0
Ge68   0.0
Ge69   0.0
Ge70   0.0
Ge71   0.0
Ge72   0.0
Ge73   0.0
Ge74   0.0
Ge75   0.0
Ge76   0.0
Ge77   0.0
As71   0.0
As72   0.0
As73   0.0
As74   0.0
As75   0.0
As76   0.0
As77   0.0
Se74   0.0
Se75   0.0
Se76   0.0
Se77   0.0
Se78   0.0
Se79   0.0
Se80   0.0
Se81   0.0
Se82   0.0
Se83   0.0
Br75   0.0
Br76   0.0
Br77   0.0
Br78   0.0
Br79   0.0
Br80   0.0
Br81   0.0
Br82   0.0
Br83   0.0
Kr78   0.0
Kr79   0.0
Kr80   0.0
Kr81   0.0
Kr82   0.0
Kr83   0.0
Kr84   0.0
Kr85   0.0
Kr86   0.0
Kr87   0.0
Rb79   0.0
Rb80   0.0
Rb81   0.0
Rb82   0.0
Rb83   0.0
Rb84   0.0
Rb85   0.0
Rb86   0.0
Rb87   0.0
Rb88   0.0
Sr84   0.0
Sr85   0.0
Sr86   0.0
Sr87   0.0
Sr88   0.0
Sr89   0.0
Sr90   0.0
Sr91   0.0
Y85    0.0
Y86    0.0
Y87    0.0
Y88    0.0
Y89    0.0
Y90    0.0
Y91    0.0
Zr90   0.0
Zr91   0.0
Zr92   0.0
Zr93   0.0
Zr94   0.0
Zr95   0.0
Zr96   0.0
Zr97   0.0
Nb91   0.0
Nb92   0.0
Nb93   0.0
Nb94   0.0
Nb95   0.0
Nb96   0.0
Nb97   0.0
Mo92   0.0
Mo93   0.0
Mo94   0.0
Mo95   0.0
Mo96   0.0
Mo97   0.0
Mo98   0.0
