# index  name
 0   H1
 1   H2
 2  He3
 3  He4
 4  Li7
 5  Be7
 6  C12
 7  C13
 8  C14
 9  N13
10  N14
11  N15
12  O15
13  O16
14  O17
15  O18
16  O19
17  F17
18  F18
19  F19
20  F20
21 Ne20
22 Ne21
23 Ne22
24 Ne23
25 Na21
26 Na22
27 Na23
28 Na24
29 Mg23
30 Mg24
31 Mg25
32 Mg26
33 Mg27
34 Al25
35 Al26
36 Al27
37 Al28
38 Si27
39 Si28
40 Si29
41 Si30
42 Si31
43 Si32
44  P29
45  P30
46  P31
47  P32
48  P33
49  P34
50  S32
51  S33
52  S34
53  S35
54 Fe54
55 Fe55
56 Fe56
57 Fe57
58 Fe58
59 Fe59
60 Fe60
61 Fe61
62 Co59
63 Co60
64 Co61
65 Ni58
66 Ni59
67 Ni60
68 Ni61
69 Ni62
