# Abundance pattern of the warm gas reservoir after the second 
# timestep for a simulation that started with M = 5e8 Msun of 
# primordial gas in the cold ISM.  1.25e8 Msun of gas with this 
# abundance pattern will be fed into the warm gas reservoir of 
# the real simulation for each of the first 4 timesteps (for a 
# total of 5e8 Msun of gas fed into the warm gas reservoir).
# The motivation for feeding the warm gas reservoir with this 
# pre-enriched gas is that the gas represents the products of 
# halo and early bulge stars that seeded the warm gas reservoir 
# that formed disk stars.  Adopted from Schonrich & Binney (2009).
H1     5.93468e-01
H2     9.09907e-05
H3     5.94744e-32
He3    3.77186e-05
He4    2.88003e-01
Li6    9.67496e-13
Li7    8.00307e-10
Be7    5.94744e-32
Be9    0.00000e+00
Be10   5.94744e-32
B10    0.00000e+00
B11    0.00000e+00
C12    1.59105e-02
C13    2.54467e-07
C14    5.94744e-32
N13    5.94744e-32
N14    1.10180e-06
N15    7.61123e-10
N16    5.94744e-32
O15    5.94744e-32
O16    6.85114e-02
O17    2.92012e-07
O18    9.31639e-09
O19    5.94744e-32
F17    5.94744e-32
F18    5.94744e-32
F19    2.59627e-09
F20    5.94744e-32
Ne20   1.58226e-02
Ne21   9.52231e-07
Ne22   6.64264e-07
Ne23   5.94744e-32
Na21   5.94744e-32
Na22   5.94744e-32
Na23   6.47919e-05
Na24   5.94744e-32
Mg23   5.94744e-32
Mg24   4.71554e-03
Mg25   9.47729e-06
Mg26   1.51498e-05
Mg27   5.94744e-32
Al25   5.94744e-32
Al26   5.94744e-32
Alg6   5.94744e-32
Alm6   5.94744e-32
Al27   5.69933e-05
Al28   5.94744e-32
Si27   5.94744e-32
Si28   6.08720e-03
Si29   2.57568e-05
Si30   1.70512e-05
Si31   5.94744e-32
Si32   5.94744e-32
P29    5.94744e-32
P30    5.94744e-32
P31    8.03014e-06
P32    5.94744e-32
P33    5.94744e-32
P34    5.94744e-32
S31    5.94744e-32
S32    2.78007e-03
S33    5.07509e-06
S34    1.95009e-05
S35    5.94744e-32
S36    3.90659e-10
S37    5.94744e-32
Cl33   5.94744e-32
Cl34   5.94744e-32
Cl35   1.69746e-06
Cl36   5.94744e-32
Cl37   3.38955e-07
Cl38   5.94744e-32
Ar36   5.43606e-04
Ar37   5.94744e-32
Ar38   5.42979e-06
Ar39   5.94744e-32
Ar40   1.31554e-11
Ar41   5.94744e-32
K37    5.94744e-32
K38    5.94744e-32
K39    7.64687e-07
K40    2.46034e-10
K41    7.67562e-08
K42    5.94744e-32
Ca40   4.84088e-04
Ca41   5.94744e-32
Ca42   1.17576e-07
Ca43   1.13290e-09
Ca44   1.23260e-06
Ca45   5.94744e-32
Ca46   2.71368e-12
Ca47   5.94744e-32
Ca48   0.00000e+00
Ca49   5.94744e-32
Sc41   5.94744e-32
Sc42   5.94744e-32
Sc43   5.94744e-32
Sc44   5.94744e-32
Sc45   4.07494e-09
Sc46   5.94744e-32
Sc47   5.94744e-32
Sc48   5.94744e-32
Sc49   5.94744e-32
Ti44   5.94744e-32
Ti45   5.94744e-32
Ti46   8.50291e-08
Ti47   6.28794e-09
Ti48   7.20402e-06
Ti49   2.73140e-07
Ti50   3.08954e-12
Ti51   5.94744e-32
V45    5.94744e-32
V46    5.94744e-32
V47    5.94744e-32
V48    5.94744e-32
V49    5.94744e-32
V50    1.61742e-12
V51    4.19493e-07
V52    5.94744e-32
Cr48   5.94744e-32
Cr49   5.94744e-32
Cr50   8.48436e-07
Cr51   5.94744e-32
Cr52   8.84522e-05
Cr53   5.89859e-06
Cr54   5.60385e-11
Cr55   5.94744e-32
Mn50   5.94744e-32
Mn51   5.94744e-32
Mn52   5.94744e-32
Mn53   5.94744e-32
Mn54   5.94744e-32
Mn55   2.07592e-05
Mn56   5.94744e-32
Mn57   5.94744e-32
Fe52   5.94744e-32
Fe53   5.94744e-32
Fe54   8.05075e-05
Fe55   5.94744e-32
Fe56   2.97366e-03
Fe57   5.77935e-05
Fe58   6.78744e-10
Fe59   5.94744e-32
Fe60   5.94744e-32
Fe61   5.94744e-32
Co54   5.94744e-32
Co55   5.94744e-32
Co56   5.94744e-32
Co57   5.94744e-32
Co58   5.94744e-32
Co59   1.62993e-06
Co60   5.94744e-32
Co61   5.94744e-32
Ni56   5.94744e-32
Ni57   5.94744e-32
Ni58   1.92582e-05
Ni59   5.94744e-32
Ni60   4.48610e-05
Ni61   1.82080e-06
Ni62   6.30286e-06
Ni63   5.94744e-32
Ni64   4.82873e-11
Ni65   5.94744e-32
Cu57   5.94744e-32
Cu58   5.94744e-32
Cu59   5.94744e-32
Cu60   5.94744e-32
Cu61   5.94744e-32
Cu62   5.94744e-32
Cu63   1.55325e-07
Cu64   5.94744e-32
Cu65   1.94555e-08
Cu66   5.94744e-32
Zn60   5.94744e-32
Zn61   5.94744e-32
Zn62   5.94744e-32
Zn63   5.94744e-32
Zn64   9.44028e-07
Zn65   5.94744e-32
Zn66   1.94682e-07
Zn67   3.09753e-10
Zn68   6.65133e-11
Zn69   5.94744e-32
Zn70   0.00000e+00
Zn71   5.94744e-32
Ga62   5.94744e-32
Ga63   5.94744e-32
Ga64   5.94744e-32
Ga65   5.94744e-32
Ga66   5.94744e-32
Ga67   5.94744e-32
Ga68   5.94744e-32
Ga69   9.09950e-13
Ga70   5.94744e-32
Ga71   3.92786e-13
Ga72   5.94744e-32
Ge64   5.94744e-32
Ge65   5.94744e-32
Ge66   5.94744e-32
Ge67   5.94744e-32
Ge68   5.94744e-32
Ge69   5.94744e-32
Ge70   1.26402e-12
Ge71   5.94744e-32
Ge72   7.57327e-13
Ge73   1.96273e-13
Ge74   7.10107e-13
Ge75   5.94744e-32
Ge76   0.00000e+00
Ge77   5.94744e-32
As71   5.94744e-32
As72   5.94744e-32
As73   5.94744e-32
As74   5.94744e-32
As75   3.37775e-14
As76   5.94744e-32
As77   5.94744e-32
Se74   1.62737e-14
Se75   5.94744e-32
Se76   4.05980e-13
Se77   1.01296e-13
Se78   3.19004e-13
Se79   5.94744e-32
Se80   4.17797e-13
Se81   5.94744e-32
Se82   0.00000e+00
Se83   5.94744e-32
Br75   5.94744e-32
Br76   5.94744e-32
Br77   5.94744e-32
Br78   5.94744e-32
Br79   2.31930e-13
Br80   5.94744e-32
Br81   9.26180e-14
Br82   5.94744e-32
Br83   5.94744e-32
Kr78   1.18513e-15
Kr79   5.94744e-32
Kr80   1.05737e-13
Kr81   5.94744e-32
Kr82   5.11436e-13
Kr83   7.38893e-14
Kr84   5.01317e-13
Kr85   5.94744e-32
Kr86   3.81661e-13
Kr87   5.94744e-32
Rb79   5.94744e-32
Rb80   5.94744e-32
Rb81   5.94744e-32
Rb82   5.94744e-32
Rb83   5.94744e-32
Rb84   5.94744e-32
Rb85   3.94809e-13
Rb86   5.94744e-32
Rb87   1.76923e-13
Rb88   5.94744e-32
Sr84   3.60896e-15
Sr85   5.94744e-32
Sr86   2.75460e-13
Sr87   4.67152e-13
Sr88   3.71157e-13
Sr89   5.94744e-32
Sr90   5.94744e-32
Sr91   5.94744e-32
Y85    5.94744e-32
Y86    5.94744e-32
Y87    5.94744e-32
Y88    5.94744e-32
Y89    6.63899e-14
Y90    5.94744e-32
Y91    5.94744e-32
Zr90   1.36160e-13
Zr91   3.78494e-14
Zr92   2.10204e-14
Zr93   5.94744e-32
Zr94   4.12264e-13
Zr95   5.94744e-32
Zr96   5.58025e-15
Zr97   5.94744e-32
Nb91   5.94744e-32
Nb92   5.94744e-32
Nb93   1.18908e-14
Nb94   5.94744e-32
Nb95   5.94744e-32
Nb96   5.94744e-32
Nb97   5.94744e-32
Mo92   1.82938e-14
Mo93   5.94744e-32
Mo94   2.50099e-14
Mo95   6.08052e-14
Mo96   1.90963e-13
Mo97   1.11322e-13
Mo98   0.00000e+00
Ba134  0.00000e+00
Ba135  2.23295e-08
Ba136  0.00000e+00
Ba137  2.12055e-08
Ba138  1.68595e-08
Eu151  1.59962e-09
Eu153  1.82813e-09
